licenses,parsed_address,similarity score,permit,apn,many_to_many
4855 alberson court 92130,4855 alberson court 92130,100,str-01686l,3043700600,both
2028 30th st 92104,2028 30th st 92104,100,str-01757l,5391550800,both
5145 coban st 92114,6515 acorn st 92115,79,str-02656l,4676200500,both
3327 32nd st 92104,3327 32nd st 92104,100,str-01505l,4535111200,both
1305 elevation rd 92110,1305 elevation rd 92110,100,str-04720l,4362311900,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00432l,4480702500,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00594l,4480702500,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00595l,4480702500,both
5037 narragansett av #1 92107,5037 narragansett ave 92107,95,str-00511l,4480702500,both
846 wilbur av 92109,868 wilbur ave 92109,92,str-05623l,4154021200,both
1567 guy st 92103,1569 guy st 92103,94,str-01375l,4512321600,both
1567 guy st 92103,1569 guy st 92103,94,str-01356l,4512321600,both
1330 reed av #1 92109,1330 reed ave #01 92109,95,str-00173l,4231731501,both
1330 reed av #1 92109,1330 reed ave #01 92109,95,str-05056l,4231731501,both
6266 camino de la costa 92037,6266 camino de la costa 92037,100,str-02521l,3515710900,both
2866 copley av 92116,2866 copley ave 92116,98,str-02484l,4382013300,both
6636 electric av 92037,6634 electric ave 92037,93,str-02131l,3514711800,both
6636 electric av 92037,6634 electric ave 92037,93,str-03773l,3514711800,both
718 ostend court 92109,718 ostend court 92109,100,str-03103l,4235951300,both
1061 johnson av 92103,1041 johnson ave 92103,93,str-00179l,4443710500,both
3619 strandway 92109,3651 strand way 92109,93,str-04859l,4236010500,both
3619 strandway 92109,3651 strand way 92109,93,str-04971l,4236010500,both
1137 felspar st 92109,1137 felspar st 92109,100,str-03918l,4156230501,both
1137 felspar st 92109,1137 felspar st 92109,100,str-03497l,4156230501,both
3010 nile street st 92104,3520 nile st 92104,84,str-06711l,4537541900,both
4502 north av #b 92116,4980 northaven ave 92110,71,str-01883l,4302520300,both
3681 leland st 92106,3681 leland st 92106,100,str-04730l,4507610200,both
3036 landis st 92104,3703 landis st 92105,90,str-04676l,4476520100,both
4662 mount alifan dr 92111,4662 mt alifan dr 92111,94,str-05305l,4191320100,both
1617 s 40th st 92113,1617 s 40th st 92113,100,str-00206l,5513121500,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00515l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-01055l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00612l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00514l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00522l,4480702600,both
5041 narragansett av #4 92107,5041 narragansett ave 92107,95,str-00611l,4480702600,both
5288 santa margarita st 92114,5288 santa margarita st 92114,100,str-01951l,5481821300,both
5288 santa margarita st 92114,5288 santa margarita st 92114,100,str-01955l,5481821300,both
2931 k st 92102,2917 k st 92102,93,str-04659l,5452810100,both
3581 bayside walk 92109,bayside walk 92109,100,str-03160l,4235580200,both
8168 la jolla shores dr 92037,8168 la jolla shores dr 92037,100,str-00584l,3462831900,both
3442 47th st 92105,3442 47th st 92105,100,str-02222l,4761412900,both
763 york court 92109,756 york court 92109,95,str-00304l,4233141400,both
737 jamaica court #2 92109,837 jamaica court 92109,92,str-02799l,4236713601,both
737 jamaica court #2 92109,837 jamaica court 92109,92,str-01066l,4236713601,both
737 jamaica court #2 92109,837 jamaica court 92109,92,str-02802l,4236713601,both
714 capistrano place 92109,814 capistrano pl 92109,90,str-07565l,4237311200,both
2219 felspar st 92109,2219 felspar st 92109,100,str-00560l,4165630800,both
2219 felspar st 92109,2219 felspar st 92109,100,str-06041l,4165630800,both
2219 felspar st 92109,2219 felspar st 92109,100,str-06024l,4165630800,both
2143 spray st 92107,2141 spray st 92107,95,str-02092l,4480320200,both
2143 spray st 92107,2141 spray st 92107,95,str-01684l,4480320200,both
3659 florida st 92104,3659 florida st 92104,100,str-02022l,4531901500,both
4609 adair st 92107,4609 adair st 92107,100,str-01118l,4484521200,both
2233 mission av 92116,2233 mission ave 92116,98,str-01733l,4451522600,both
2877 mcgraw st 92117,2877 mcgraw st 92117,100,str-03751l,4255114000,both
5411 linda rosa av 92037,5411 linda rosa ave 92037,98,str-02283l,3576401500,both
3856 loma alta dr 92115,3856 loma alta dr 92115,100,str-02459l,4745951800,both
735 rushville st 92037,735 rushville st 92037,100,str-02483l,3511540400,both
735 rushville st 92037,735 rushville st 92037,100,str-02482l,3511540400,both
1715 robinson av 92103,1715 robinson ave 92103,98,str-01831l,4522130800,both
672 pacific view dr 92109,672 pacific view dr 92109,100,str-02326l,4156400200,both
5047 narragansett av 92107,5047 narragansett ave 92107,98,str-00913l,4480702801,both
5047 narragansett av 92107,5047 narragansett ave 92107,98,str-02256l,4480702801,both
4465 montalvo st 92107,4465 montalvo st 92107,100,str-01038l,4498608900,both
1271 willow st 92106,1271 willow st 92106,100,str-03754l,5313131100,both
2004 tulip st 92105,2004 tulip st 92105,100,str-00923l,5401711900,both
4717 cape may av 92107,4775 cape may ave 92107,93,str-00852l,4484112700,both
1828 cable st 92107,1828 cable st 92107,100,str-00203l,4481811500,both
961 thomas av 92109,961 thomas ave 92109,97,str-01032l,4231230900,both
718 jamaica court #1/2 92109,718 jamaica court 92109,100,str-00887l,4236471400,both
718 jamaica court #1/2 92109,718 jamaica court 92109,100,str-01854l,4236471400,both
718 jamaica court #1/2 92109,718 jamaica court 92109,100,str-01472l,4236471400,both
750 devon court 92109,750 devon court 92109,100,str-01061l,4236942002,both
3755 texas st 92104,3755 texas st 92104,100,str-02594l,4530520800,both
1752 1752 klauber av 92114,1752 klauber ave 92114,98,str-02636l,5440803700,both
8498 el paseo grande 92037,8498 el paseo grande 92037,100,str-03532l,3460501700,both
3718 bayside walk 92109,bayside walk 92109,100,str-03160l,4235580200,both
8212 n la jolla shores dr 92037,8212 la jolla shores dr 92037,100,str-01916l,3462321400,both
728 coronado court 92109,726 coronado court 92109,96,str-03647l,4237130700,both
728 coronado court 92109,726 coronado court 92109,96,str-03646l,4237130700,both
3525 bayside ln 92109,3525 bayside ln #c 92109,100,str-01144l,4236161000,both
3575 bayside ln 92109,3575 bayside ln 92109,100,str-01098l,4236071102,both
3575 bayside ln 92109,3575 bayside ln 92109,100,str-04798l,4236071102,both
3575 bayside ln 92109,3575 bayside ln 92109,100,str-04793l,4236071102,both
1041 johnson av 92103,1041 johnson ave 92103,98,str-00179l,4443710500,both
5355 la jolla mesa dr 92037,5355 la jolla mesa dr 92037,100,str-01869l,4150910200,both
3243 belle isle dr 92105,3243 belle isle dr 92105,100,str-01229l,4762421800,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00515l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-01055l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00612l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00514l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00522l,4480702600,both
5041 narragansett av #2 92107,5041 narragansett ave 92107,95,str-00611l,4480702600,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00799l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03233l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00421l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03311l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00385l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-02576l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03089l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-02687l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03156l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-00263l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01652l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03553l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03926l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-02952l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-03517l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-06497l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01108l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-06626l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01525l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01391l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04280l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04213l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01165l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04919l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01728l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-07336l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-01588l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-05674l,4155811341,both
4667 ocean blvd #314 92109,4667 ocean blvd #314 92109,100,str-04086l,4155811341,both
5397 la jolla mesa dr 92037,5397 la jolla mesa dr 92037,100,str-04678l,3576600900,both
315 nw bonair st #3 92037,315 bonair st #04 92037,93,str-01184l,3513811004,both
315 nw bonair st #3 92037,315 bonair st #04 92037,93,str-02038l,3513811004,both
8126 camino del sol #1 92037,8126 camino del sol 92037,100,str-02142l,3462721002,both
8126 camino del sol #1 92037,8126 camino del sol 92037,100,str-00298l,3462721002,both
8126 camino del sol #1 92037,8126 camino del sol 92037,100,str-02139l,3462721002,both
2110 camino de la reina #110 92108,12510 caminito de la gallarda 92128,74,str-00084l,2745330106,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-00779l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-01704l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-01765l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-04173l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-03479l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-03551l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-07473l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-01988l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-05167l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-04107l,3012300960,both
2260 del mar scenic py 92014,2260 del mar scenic pkwy 92014,97,str-06970l,3012300960,both
861 emerald st #2 92109,861 emerald st 92109,100,str-02900l,4155920400,both
861 emerald st #2 92109,861 emerald st 92109,100,str-02909l,4155920400,both
861 emerald st #2 92109,861 emerald st 92109,100,str-02898l,4155920400,both
861 emerald st #2 92109,861 emerald st 92109,100,str-02911l,4155920400,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-03366l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-01940l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-00716l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-05965l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-04632l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-01723l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-00719l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-02464l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-03365l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-03963l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-02434l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-04913l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-02943l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-07037l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-07038l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-07039l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-03298l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-04475l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-02657l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-01683l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-00943l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-05186l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-01332l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-02957l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-00603l,4230210832,both
4767 ocean blvd diego ca 92109,32 ocean blvd 92109,91,str-03971l,4230210832,both
819 island court 92109,839 island court 92109,95,str-06634l,4236752500,both
819 island court 92109,839 island court 92109,95,str-01460l,4236752500,both
968 law st #b 92109,968 law st 92109,100,str-01335l,4154711300,both
968 law st #b 92109,968 law st 92109,100,str-02095l,4154711300,both
5296 alta vista st 92109,5296 alta vista st 92109,100,str-02277l,4160711400,both
6265 caminito basilio 92111,6265 caminito basilio 92111,100,str-02524l,4374705300,both
1544 chalcedony st #c 92109,1544 chalcedony st 92109,100,str-04115l,4163121500,both
1544 chalcedony st #c 92109,1544 chalcedony st 92109,100,str-04216l,4163121500,both
1544 chalcedony st #c 92109,1544 chalcedony st 92109,100,str-04070l,4163121500,both
1544 chalcedony st #c 92109,1544 chalcedony st 92109,100,str-04234l,4163121500,both
3364 mission blvd 92109,3364 mission blvd 92109,100,str-05249l,4236420400,both
3364 mission blvd 92109,3364 mission blvd 92109,100,str-05074l,4236420400,both
3364 mission blvd 92109,3364 mission blvd 92109,100,str-04960l,4236420400,both
3364 mission blvd 92109,3364 mission blvd 92109,100,str-05271l,4236420400,both
2695 ocean front walk 92109,2695 ocean front walk 92109,100,str-02831l,4237420703,both
2695 ocean front walk 92109,2695 ocean front walk 92109,100,str-02927l,4237420703,both
2695 ocean front walk 92109,2695 ocean front walk 92109,100,str-02114l,4237420703,both
2695 ocean front walk 92109,2695 ocean front walk 92109,100,str-02862l,4237420703,both
414 morrison st 92102,414 morrison st 92102,100,str-02732l,5460914000,both
3925 cleveland av 92103,3925 cleveland ave 92103,98,str-04226l,4456321400,both
9503 la jolla shores dr 92037,9503 la jolla shores dr 92037,100,str-01621l,3440612000,both
3434 alabama st 92104,3434 alabama st 92104,100,str-01777l,4533501700,both
4092 ohio st 92104,4092 ohio st 92104,100,str-00965l,4463642600,both
4373 maryland st 92103,4373 maryland st 92103,100,str-02186l,4452710500,both
3216 1/2 third av 92103,3216 3rd ave 92103,71,str-01131l,4525543900,both
3216 1/2 third av 92103,3216 3rd ave 92103,71,str-01122l,4525543900,both
3216 1/2 third av 92103,3216 3rd ave 92103,71,str-00155l,4525543900,both
7025 neptune pl 92037,7025 neptune pl 92037,100,str-02013l,3512101600,both
702 beryl st 92109,702 beryl st 92109,100,str-01902l,4153920500,both
702 beryl st 92109,702 beryl st 92109,100,str-01895l,4153920500,both
1741 columbia st 92101,1741 columbia st 92101,100,str-01938l,5332440200,both
2049 w california st 92110,2049 w california st 92110,100,str-02080l,4517130600,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-00799l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-03233l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-00421l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-03311l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-00385l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-02576l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-03089l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-02687l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-03156l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-00263l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-01652l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-03553l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-03926l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-02952l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-03517l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-06497l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-01108l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-06626l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-01525l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-01391l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-04280l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-04213l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-01165l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-04919l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-01728l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-07336l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-01588l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-05674l,4155811346,both
4767 ocean blvd blvd #405 92109,4667 ocean blvd #405 92109,96,str-04086l,4155811346,both
4913 brighton ave av 92107,4913 brighton ave 92107,100,str-00703l,4482021900,both
834 w mission bay dr 92109,834 w mission bay dr 92109,100,str-03883l,4236751300,both
834 w mission bay dr 92109,834 w mission bay dr 92109,100,str-04255l,4236751300,both
3772 granada av 92104,3772 granada ave 92104,98,str-05813l,4531021000,both
728 ensenada court 92109,742 ensenada court 92109,96,str-00835l,4236921300,both
728 ensenada court 92109,742 ensenada court 92109,96,str-00836l,4236921300,both
2908 monroe av 92116,2908 monroe ave 92116,98,str-03023l,4460331500,both
1938 felspar st #3 92109,1936 felspar st 92109,91,str-02892l,4165321200,both
1938 felspar st #3 92109,1936 felspar st 92109,91,str-04013l,4165321200,both
1938 felspar st #3 92109,1936 felspar st 92109,91,str-02760l,4165321200,both
5070 voltaire 92107,5070 voltaire st 92107,100,str-05040l,4481332500,both
5070 voltaire 92107,5070 voltaire st 92107,100,str-04742l,4481332500,both
146 hawthorn st 92101,140 hawthorn st 92101,95,str-00353l,5331720600,both
1831 david st 92111,1829 david st 92111,89,str-00862l,4315640400,both
3535 promontory st 92109,3535 promontory st 92109,100,str-02039l,4235020600,both
5237 ocean breeze court 92109,5237 ocean breeze court 92109,100,str-00321l,4160606100,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-00779l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-01704l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-01765l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-04173l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-03479l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-03551l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-07473l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-01988l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-05167l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-04107l,3012300840,both
13020 caminito del rocio #b 92014,13020 caminito del rocio 92014,100,str-06970l,3012300840,both
5045 narragansett av #4 92107,5045 narragansett ave 92107,95,str-00405l,4480702700,both
5045 narragansett av #4 92107,5045 narragansett ave 92107,95,str-00597l,4480702700,both
5045 narragansett av #4 92107,5045 narragansett ave 92107,95,str-00596l,4480702700,both
5045 narragansett av #4 92107,5045 narragansett ave 92107,95,str-00525l,4480702700,both
5045 narragansett av #4 92107,5045 narragansett ave 92107,95,str-00524l,4480702700,both
5045 narragansett av #4 92107,5045 narragansett ave 92107,95,str-00599l,4480702700,both
5393 la jolla mesa dr dr 92037,5393 la jolla mesa dr 92037,100,str-01247l,3576601000,both
1240 archer st 92109,1240 archer st 92109,100,str-01120l,4151321300,both
841 pismo court 92109,841 pismo court 92109,100,str-00972l,4235921100,both
1261 torrey pines rd 92037,1261 torrey pines rd 92037,100,str-03921l,3503420400,both
2937 suncrest dr 92116,suncrest dr 92116,100,str-07931l,4382902857,both
2937 suncrest dr 92116,suncrest dr 92116,100,str-07931l,4382902878,both
2692 c st #3 92102,c st 92102,100,str-06649l,5395630100,both
981 island av #11 92101,981 island ave #11 92101,98,str-01999l,5351261311,both
981 island av #11 92101,981 island ave #11 92101,98,str-02473l,5351261311,both
981 island av #11 92101,981 island ave #11 92101,98,str-03544l,5351261311,both
981 island av #11 92101,981 island ave #11 92101,98,str-06065l,5351261311,both
981 island av #11 92101,981 island ave #11 92101,98,str-02817l,5351261311,both
981 island av #11 92101,981 island ave #11 92101,98,str-03833l,5351261311,both
822 vanitie court #3 92109,802 vanitie court 92109,92,str-06289l,4235570900,both
1828 spalding pl 92116,1838 spalding pl 92116,95,str-05220l,4450422900,both
8002 la jolla shores dr 92037,8002 la jolla shores dr 92037,100,str-00496l,3463650700,both
3400 yosemite st 92109,3400 yosemite st 92109,100,str-02414l,4235310900,both
2934 spruce st 92104,2934 spruce st 92104,100,str-02554l,4535311500,both
1911 crenshaw st 92105,1911 crenshaw st 92105,100,str-05811l,5401710100,both
3390 dorchester dr 92123,3390 dorchester dr 92123,100,str-03667l,4212802900,both
2811 reynard wy #1 92103,2811 reynard way 92103,93,str-00129l,4526710100,both
3317 grim av #3319 92104,3317 grim ave 92104,88,str-04106l,4534921300,both
460 sea cove pt 92154,460 sea cove pt 92154,100,str-03713l,6453014300,both
2656 strandway 92109,2656 strandway 92109,100,str-02065l,4237610200,both
818 jamaica court 92109,818 jamaica court 92109,100,str-00842l,4236570900,both
4604 osprey st 92107,4604 osprey st 92107,100,str-01573l,5300311300,both
7363 fay av 92037,7363 fay ave 92037,97,str-02332l,3510632100,both
5548 riley st 92110,5548 riley st 92110,100,str-04262l,4365522200,both
1456 law st 92109,1456 law st 92109,100,str-02036l,4163012500,both
8461 hydra ln 92126,8461 hydra ln 92126,100,str-02199l,3090700600,both
825 bush st 92103,1233 bush st 92103,87,str-07879l,4510420100,both
2112 balboa av #12 92109,2112 balboa ave 92109,91,str-03985l,4240612000,both
2112 balboa av #12 92109,2112 balboa ave 92109,91,str-03947l,4240612000,both
2112 balboa av #12 92109,2112 balboa ave 92109,91,str-03864l,4240612000,both
2745 strandway #b 92109,2745 strandway 92109,100,str-03844l,4237240800,both
2745 strandway #b 92109,2745 strandway 92109,100,str-03596l,4237240800,both
2053 5th av 92101,2053 5th ave 92101,97,str-01029l,5332040102,both
2053 5th av 92101,2053 5th ave 92101,97,str-00545l,5332040102,both
1220 emerald st 92109,1220 emerald st 92109,100,str-00944l,4156321800,both
3487 collier av 92116,3487 collier ave 92116,98,str-02674l,4403920200,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-00799l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-03233l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-00421l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-03311l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-00385l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-02576l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-03089l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-02687l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-03156l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-00263l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-01652l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-03553l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-03926l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-02952l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-03517l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-06497l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-01108l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-06626l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-01525l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-01391l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-04280l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-04213l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-01165l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-04919l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-01728l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-07336l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-01588l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-05674l,4155811309,both
4667 ocean blvd #109 92109,4667 ocean blvd #109 92109,100,str-04086l,4155811309,both
3456 wisteria dr 92106,3456 wisteria dr 92106,100,str-05816l,4502210800,both
1194 van nuys st 92109,van nuys st 92109,100,str-06049l,4151321900,both
725 cohasset court 92109,725 cohasset court 92109,100,str-03756l,4237220300,both
720 queenstown court 92109,729 queenstown court 92109,96,str-07815l,4235830500,both
