licenses,parsed_address,similarity score,permit,apn,many_to_many
3673 ocean front walk walk 92109,3773 ocean front walk 92109,96,str-02045l,4235811704,both
3673 ocean front walk walk 92109,3773 ocean front walk 92109,96,str-04093l,4235811704,both
6515 acorn st 92115,6515 acorn st 92115,100,str-02656l,4676200500,both
703 law st #1 92109,703 law st 92109,100,str-02989l,4154500600,both
817 kennebeck court #817 92109,821 kennebeck court 92109,96,str-01738l,4236530701,both
817 kennebeck court #817 92109,821 kennebeck court 92109,96,str-04254l,4236530701,both
817 kennebeck court #817 92109,821 kennebeck court 92109,96,str-01343l,4236530701,both
4111 03rd av #4111 92103,4186 3rd ave 92103,83,str-01265l,4445111400,both
680 w beech st #5 92101,680 w beech st 92101,100,str-00928l,5333271700,both
680 w beech st #5 92101,680 w beech st 92101,100,str-02387l,5333271700,both
680 w beech st #5 92101,680 w beech st 92101,100,str-02389l,5333271700,both
680 w beech st #5 92101,680 w beech st 92101,100,str-02333l,5333271700,both
680 w beech st #5 92101,680 w beech st 92101,100,str-02391l,5333271700,both
3217 n columbia st #8 92103,3667 columbia st 92103,87,str-03179l,4513211100,both
719 whiting court 92109,whiting court 92109,100,str-00726l,4235514800,both
719 whiting court 92109,whiting court 92109,100,str-07016l,4235514800,both
7447 fay av 92037,7443 fay ave 92037,91,str-01611l,3506120500,both
7447 fay av 92037,7443 fay ave 92037,91,str-01334l,3506120500,both
8137 thistle court 92120,8137 thistle court 92120,100,str-05301l,4564430800,both
5037 narragansett av #3 92107,5037 narragansett ave 92107,95,str-00432l,4480702500,both
5037 narragansett av #3 92107,5037 narragansett ave 92107,95,str-00594l,4480702500,both
5037 narragansett av #3 92107,5037 narragansett ave 92107,95,str-00595l,4480702500,both
5037 narragansett av #3 92107,5037 narragansett ave 92107,95,str-00511l,4480702500,both
5041 narragansett av #6 92107,5041 narragansett ave 92107,95,str-00515l,4480702600,both
5041 narragansett av #6 92107,5041 narragansett ave 92107,95,str-01055l,4480702600,both
5041 narragansett av #6 92107,5041 narragansett ave 92107,95,str-00612l,4480702600,both
5041 narragansett av #6 92107,5041 narragansett ave 92107,95,str-00514l,4480702600,both
5041 narragansett av #6 92107,5041 narragansett ave 92107,95,str-00522l,4480702600,both
5041 narragansett av #6 92107,5041 narragansett ave 92107,95,str-00611l,4480702600,both
6449 dowling dr 92037,6449 dowling dr 92037,100,str-01425l,3516150600,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-00779l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-01704l,3012300954,both
13083 caminito del rocio #91 92014,13083 caminito del rocio 92014,100,str-01765l,3012300954,both
